,ACCESS1-0,ACCESS1-3,bcc-csm1-1-m,bcc-csm1-1,BNU-ESM,CanESM2,CCSM4,CESM1-BGC,CESM1-CAM5,CMCC-CESM,CMCC-CM,CMCC-CMS,CNRM-CM5,CSIRO-Mk3-6-0,EC-EARTH,FGOALS-g2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-AO,HadGEM2-CC,HadGEM2-ES,inmcm4,IPSL-CM5A-LR,IPSL-CM5A-MR,IPSL-CM5B-LR,MIROC-ESM-CHEM,MIROC-ESM,MIROC5,MPI-ESM-LR,MPI-ESM-MR,MRI-CGCM3,MRI-ESM1,NorESM1-M
1,1.211530507373828,1.1707463773444222,1.458252650786562,1.2219237671102263,2.138566623495927,2.0728075410271223,1.7262352374446854,1.9372512053966182,2.0386162796513756,1.6915987651689608,1.6848156466574895,1.5943528717147184,2.1634971858363707,1.828976025274847,1.843765943256472,1.8497187243850963,1.8428817955978638,2.3942572019393538,1.5307470187025887,0.8767921505348328,1.4358454165631942,1.593556892568853,1.2964888894160604,1.9344120030241199,1.9498983679193758,1.2270332720571822,1.6138491071210697,2.0108212346542738,2.148217643684716,1.3056644301709415,1.540590773813033,1.4546830304436769,1.4614831722849873,1.4945800801877709
2,1.9996901648606058,1.7965854308885278,1.9444066898374082,1.6240127128667015,2.4152082351529733,1.8122472817841864,2.130373350684003,2.684094866660562,3.2695483911091956,2.5882632375275394,1.8785451504315545,2.140569484802837,2.2766443136754977,2.7816167807748102,1.7503823571894817,3.3939568295993428,2.03452727936125,2.345615489288081,2.1348195631975773,1.871298492769663,1.91744884486492,1.7649785302669836,1.8240133896965118,2.455149448956557,2.6730751018442884,2.1487171182285705,2.3360199426826593,3.2540743921435085,3.996873148333023,2.3522555657444175,2.3974288638284147,1.7382587415059203,2.151992197159633,1.8865825571079637
3,2.144870207913861,2.859894814333678,3.1210080296492912,2.615214391299198,3.233440654722158,3.1611982543580925,2.7839775222767176,3.53241951710497,4.849719385334009,2.950189887970883,3.0587710870042066,4.023507169962408,3.089836735897581,3.243193932233133,2.014363555123237,4.176315367654336,2.8914312883647972,2.3707364230863734,4.213760679278584,2.9411802534192626,2.6931983518561493,2.3019660495152205,3.0338649820531565,2.3196239761407407,2.320929519934758,2.871776516204606,2.6917749184845845,3.4843377805072615,5.082326906011156,4.099112784673383,2.9454871442406563,2.9658446259924434,2.9898794469883025,3.4393079661422687
4,3.2163988459704993,4.071966991195653,4.459708080697221,3.6845863280449787,4.341310897895501,3.7793329396939965,3.484624919849748,3.8572316660953874,5.371878752122073,4.894613293875372,3.6840144161915216,5.2722157918188985,4.002597100090546,3.487091682020904,2.630963961331558,5.3819077540463605,4.962551509334853,2.7939625722307877,5.40910620888367,3.3968418117129304,3.3203701290477587,2.703119566429645,4.468282367623981,2.9427254603958524,2.717469017488282,2.7398794915086677,2.7596098728742593,4.084338842283709,5.39448607832299,5.3383935214822404,3.774131259481853,3.6479453776861166,3.2727480149000776,4.0053288912555765
5,4.831240080709353,5.054657097529674,5.2684770763206865,4.892830164190362,5.639724669265334,4.91967402812362,6.12661679151967,5.1105779103299,4.402201651911699,6.665917791529361,4.363383090642075,6.073397839385019,3.3811307988805264,5.094816530990579,4.00304895365894,6.0703834991569625,5.276527579582436,4.709253643398635,6.3727796087254,3.5541167694386924,3.828317487340537,3.7675046750005152,5.309067958234984,4.487220863415117,3.693068575861859,3.102701431231735,4.6937573876474765,5.3079044307249985,6.361912048609153,5.1670068770691495,3.8241077729632984,4.6393863444175985,4.2197193246769995,6.162344047853962
6,6.190326824757357,7.459668143025392,5.340071056754861,5.707933610066941,8.098111162238817,7.604301851428616,5.850814524220099,6.147909572108083,3.8864687147849732,8.312377455490504,5.537605154786903,5.5517081920208975,5.917723716100494,5.492461938922874,8.094125113772627,6.058586351692354,6.197099908434206,7.208905965236014,7.663991011784848,7.2797310997258675,5.471100051072775,5.011972232611655,5.22123938092708,5.875676721044691,3.3018429714529107,4.696390400974574,6.805133118452541,5.4547220477421465,5.0974130984594686,5.022796266681047,4.5940589327251695,4.5765832771202986,4.251572643241946,7.7315165144027755
7,5.975703528931606,7.271432549676435,5.8100427749591,6.641276667157231,7.625193489471424,7.128915976849435,6.677727000091302,6.296071472372602,5.5080606277373185,7.40840555013823,6.215667162474545,4.895453474556488,5.258512101017472,5.559711072607338,9.222845561818515,5.361759994133823,4.4964349139830375,9.943728129128875,6.9933458220495535,7.589320551948652,4.948331129385005,6.00322422029393,6.5526817109939115,6.756109527966587,4.019853749758851,5.513056418684366,7.525121595108719,6.142989927868183,6.48258265264714,5.739249164050648,5.541272761002191,4.162642382987563,3.638522453710662,8.05008710532067
8,5.813378020208287,5.025999142562506,5.571950220719881,5.176883485377184,8.972818956242689,7.699617620708693,8.129105246424016,5.515508884268881,7.5572413223188715,9.159538542673818,6.314009809902638,6.929672481973838,6.850918056056775,5.487780490831184,9.228641050424514,4.495329521521697,5.686730294706644,10.812041592562352,6.3161207420801695,8.262975396981698,5.519772122560268,5.968251297112217,8.398348479218175,6.3467820763208,7.437716008674248,4.734524636293017,9.606932100989837,6.319040100652225,6.151141025013586,6.024184488492684,6.604610305560726,5.158676861224034,5.225779042958034,8.601943155269383
9,6.097621068354888,6.910403328689271,7.184395966933472,4.702632420822324,9.976949380546394,6.463358348564237,7.64774166650246,5.998413045759792,7.4760380930402,8.118677030432156,7.714671453735554,7.046412062475263,7.269473966992569,3.498244131748,10.133165154274414,5.4477210061212675,7.050345461431882,9.762181253012951,7.356804126412903,8.22132462636417,6.162075499666195,7.478381973341747,8.08747361959729,7.044734438076731,7.920456441313603,6.833406380937581,8.860329542121432,6.4115857294824,6.292049914533786,5.813468564831297,5.873072050035961,5.334378843578319,5.779711687014115,8.8417708600987
10,5.503380852240583,6.524035424140544,7.38592718290421,4.82972226579823,8.595673278761279,6.360597860307409,5.703470842166777,5.267493492040306,7.853954458345798,7.571158112586466,7.188317853609721,5.75089408981069,7.281516194628593,3.586929430469636,9.113920052568872,5.557558507563259,6.587183221956831,9.024388255282576,6.393383873413812,7.252283766674455,5.491539739873513,5.368048318388895,6.696044984192371,8.684642743109212,8.067521518818785,6.5424827910190535,7.17924385352403,4.735716505436146,5.507230069841042,5.038190168717017,5.665584172424675,4.33107309845142,5.615055220158993,7.838936583159885
11,4.582455563596244,4.026604432593284,5.8814000049902075,3.028655204955223,5.837491675583322,4.491327177756069,3.8754897532562933,2.7878172028545567,4.455311013310639,4.581098527443561,5.824836091055133,4.072990869668862,3.9902637964624073,3.0571914581801507,4.448326044931041,4.110777220697699,5.25797146113875,6.252290229375457,4.2647007472381855,4.460350221544271,4.258487795901482,3.694590846567164,4.900684030295695,3.736420467334,3.93388716403904,4.62496392774193,5.132831261164602,2.8180677659729856,3.4067891573155737,3.818810167808166,3.5784077029263415,3.1383575004485857,3.8470449400272595,5.298194785174502
12,1.1845658484634807,1.5431747798928954,1.9169676648963039,1.415917954481866,2.209776975931698,2.1449563750186473,2.025884240389181,2.6372595761883004,2.390912603525584,1.7884307511442712,1.526298146792548,1.7161391371632437,2.5030990475506485,1.865464821274069,1.9338924914953215,1.7299111904806834,2.462482941299728,2.556216235719663,2.1470982262838474,1.458139559017245,1.1775967824607803,1.7451156867196256,1.9374855620182037,2.339204437207263,1.7138392821079524,1.1493132645730966,1.0991057208505288,1.237402377267758,2.4298749923009346,1.935687705805334,1.6627458545246934,1.4342126591106028,1.8393583947063645,2.6677387781968305
