,ACCESS1-0,ACCESS1-3,bcc-csm1-1-m,bcc-csm1-1,BNU-ESM,CanESM2,CCSM4,CESM1-BGC,CESM1-CAM5,CMCC-CESM,CMCC-CM,CMCC-CMS,CNRM-CM5,CSIRO-Mk3-6-0,EC-EARTH,FGOALS-g2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-AO,HadGEM2-CC,HadGEM2-ES,inmcm4,IPSL-CM5A-LR,IPSL-CM5A-MR,IPSL-CM5B-LR,MIROC-ESM-CHEM,MIROC-ESM,MIROC5,MPI-ESM-LR,MPI-ESM-MR,MRI-CGCM3,MRI-ESM1,NorESM1-M
1,1.7354641114417144,1.4403336194572742,2.070125181076616,1.5178029534160473,3.2308570617272157,3.0649949298655703,2.568042285498919,2.8156671596120666,3.353858245036913,2.4279179497426986,2.0377057657443105,2.423963295152862,2.905368330452744,2.7747335437385447,2.9059787951612113,2.1031448980402985,2.815135812289883,3.207694873104905,2.634971249155747,1.1088457566863825,2.3269972380614536,2.0806614500214593,1.8813815733550705,2.5428521745978396,2.0870623716554944,1.6416451064444058,2.040012353645608,2.5303587678114985,2.591803856521094,1.9007812858239945,2.1713457028748495,2.444048729287507,2.192404327318265,2.035429369160003
2,2.324634329494635,2.3869227381886926,2.656253182419395,2.2012886706549097,3.0649543860241786,1.851471524703408,3.173681755615317,3.5028299559693137,4.454988116604059,3.2257865755482276,2.337770133868811,2.7589790422409197,2.942603858680746,3.3449187887247014,2.2881763073890706,4.049753828034259,2.6552060545546303,3.0393127788386427,2.651669526954185,2.3116307564705063,2.4440936190286737,2.257140937430025,2.7300420907329865,2.982976940877833,3.104083025160127,2.909221555477748,2.8072664339606495,3.772732053055408,5.208531557459709,3.119243599310533,3.5172926164807694,2.1801410851686964,2.8380322386655887,2.1328652288284897
3,2.927103772255793,3.443137526369695,3.4140058722920243,3.4852416796240555,4.123322243115303,3.440372627441974,4.290598352195735,4.4568736100247754,6.537143219535119,3.418392990773241,4.092309005390791,5.2238120259453185,3.6817055173400686,3.6932395108412046,2.6765950584378086,4.658878987765179,3.635134482059803,3.033309948062614,4.769443163885011,3.32767375717446,2.9097282992239792,3.516368431199075,3.8095475032978388,3.3873421210327908,3.0131299450827793,3.435328293980168,3.4882233870828236,3.947675827571588,7.014094660155114,5.331028530113288,3.937751735603855,3.5649025650165393,3.6173067605112554,3.7259022669699817
4,4.219928416661689,5.176777739626603,5.416240224861354,5.23351745890421,6.276912804720493,4.518879167483378,5.37490851795839,4.944400323021519,8.223392201708213,6.5966841229843585,5.309685793105387,7.360125820340851,5.321154685504198,4.7516062003692126,3.2353140150945565,6.5063215617939685,7.737008737652863,3.8406269938562976,6.709151122805045,4.002386154329175,4.5240946984096535,4.455357076857055,6.50876495014157,4.060591433134089,3.231233322408303,3.627403626186127,4.0906880192630855,6.279125710555227,7.9373791379465235,7.081404140681208,5.64296716551708,4.221420114105534,4.196501209348485,5.013084188835137
5,6.781524804570897,8.107737938212097,6.500814483370968,6.812530242460394,8.805559717955099,5.530406458111369,8.753211637869237,7.5280170008866865,7.95413910637533,9.494946910112708,6.33483824447494,8.677019341092366,4.936859675205252,8.46814960550418,6.7995876966969835,8.051839601405106,8.420926897424717,6.029203825092737,9.3350540821634,4.6140911851735,7.639308951430673,5.825833492236666,7.970882696716421,6.277244140346865,5.025862033729337,5.300594975793926,7.521380055365593,7.759665311843153,9.442973356455182,7.369688079365442,5.828698378221126,7.023623260051689,6.88768851893569,9.253597470619548
6,9.794599982914917,13.536220094018722,7.484025759762355,8.950874951376788,14.568094723021144,11.070322539121102,8.740526465516972,9.892826723369504,7.253007087102065,14.927790781516705,7.938516848004304,11.528049976226372,8.614861602671438,10.176048879770391,13.045725793399471,9.756926203493967,10.218052500975308,12.699491798455071,13.255113101157853,11.6839316512123,10.841673946478135,7.003993054509264,8.680441121701577,9.949693536540453,6.982661631888528,8.796725227274171,11.328899238938742,8.758499515740858,7.870522975562156,8.34429788092248,8.02290256407732,7.316135813285841,6.730900601550032,13.715362296738045
7,10.619151673514027,13.701910804949888,10.36703839574982,10.123454281760552,14.677947808477123,12.288643031295138,10.746699616426048,11.92902480619918,11.727867024086965,15.299472235196422,8.357860358796856,12.371618415474897,10.285911160711297,12.451874752186702,18.44979959498694,10.403677176075732,7.159776935970822,15.9973859005462,14.693926617020798,14.316057509900348,10.665958175846093,11.180029542107928,11.943452235327973,12.384264398030469,8.753362395233639,9.789005794296397,13.419843342496877,11.178310612304497,10.444879351171467,11.567010794255495,8.944032919688247,7.65895703287316,6.989819008050187,16.348303288148237
8,13.201836707456966,10.800671377575124,12.143216759256022,8.332466449698124,17.16793721435518,11.993753660647585,14.84441140541066,10.610976998588693,15.061284946455283,18.376229547436466,10.461239103155838,16.27795472128382,12.384265148302587,13.418197303594887,19.976136944025896,10.323868931481684,10.820474654341103,16.359463520026395,15.278488164839255,16.794668774766777,11.118379249044537,14.738645038678689,15.30221415028627,13.513713757067933,13.035537082435798,8.493359174145537,17.973415429897262,12.893742855895487,11.259850049025445,11.245615001189904,12.221477027620951,8.300458925754862,11.002813628319823,20.17678281411447
9,13.144814572272795,11.714684888505598,12.790044785869322,9.369186386263847,19.951339465243024,10.134423325790099,13.441580456355736,10.275061351811733,13.764652676325781,16.516978226130625,11.026262544552607,14.292213500662902,12.99808308071801,10.821107110596687,22.424009462962708,11.06581003965524,13.87060111038475,16.940830420099562,15.80477520522862,15.166620220676752,10.759099736601302,15.871445796243796,16.381167931388166,14.67162078721434,16.043530412263642,10.773029329813024,15.919892194088956,13.837583390665875,10.659178675153736,10.790408136046509,10.812766421051299,8.538477845624858,12.77421610360624,20.545898173348153
10,12.470257385547752,11.364771114561934,11.905001723729137,9.27208391438238,16.9277499187304,12.291282772342708,8.434583566232156,8.41458646852332,15.5901046273449,15.08611858491062,10.66938326623189,12.16978595616574,11.842164845504875,9.209635807045649,18.392701737251876,9.521984903095673,13.391896423648136,17.0188589479528,14.07865597294332,11.258353074849493,8.0605316396494,10.689766300596933,13.74757428540692,17.888537591837057,16.963601931445332,10.215004874157387,13.22160392417625,10.250259902479172,9.51348690134594,10.956789128917332,10.313110484549037,7.807412533126776,11.070387807924755,15.131203733668029
